name,description,price,image,stock,category,group_key
Super Grok chính chủ 1 tháng,AI chatbot của Elon Musk / xAI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,300000,/api/logos/grok.jpg,15,AI,grok
Super Grok dùng chung 1 tháng,AI chatbot của Elon Musk / xAI Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,69000,/api/logos/grok.jpg,20,AI,grok
KREA AI Basic 9$ chính chủ 1 tháng,Công cụ sáng tạo hình ảnh AI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/krea.jpg,10,AI,krea
KREA AI Pro 35$ chính chủ 1 tháng,Công cụ sáng tạo hình ảnh AI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,400000,/api/logos/krea.jpg,10,AI,krea
VEO3 45000 credit 1 tháng,Tạo video AI của Google DeepMind Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,180000,/api/logos/veo3.jpg,10,AI,veo3
VEO3 45000 credit 1 tháng BH24h,Tạo video AI của Google DeepMind Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,80000,/api/logos/veo3.jpg,15,AI,veo3
VEO3 45000 credit 1 tháng không bảo hành,Tạo video AI của Google DeepMind Thời hạn sử dụng 1 tháng. Không kèm bảo hành.,65000,/api/logos/veo3.jpg,15,AI,veo3
Midjourney Share Slot 30$ dùng chung 1 tháng,Tạo ảnh nghệ thuật bằng AI Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,250000,/api/logos/midjourney.jpg,10,AI,midjourney
Midjourney Basic 10$ chính chủ 1 tháng,Tạo ảnh nghệ thuật bằng AI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,250000,/api/logos/midjourney.jpg,10,AI,midjourney
Midjourney Standard 30$ chính chủ 1 tháng,Tạo ảnh nghệ thuật bằng AI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,650000,/api/logos/midjourney.jpg,8,AI,midjourney
Runway AI Standard cấp sẵn 1 tháng,Studio video AI sáng tạo Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,160000,/api/logos/runway.jpg,10,AI,runway
Runway AI Pro cấp sẵn 1 tháng,Studio video AI sáng tạo Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,350000,/api/logos/runway.jpg,10,AI,runway
Higgsfield AI Pro cấp sẵn 1 tháng,Tạo video cinematic bằng AI Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,348000,/api/logos/higgsfield.jpg,8,AI,higgsfield
Higgsfield AI Ultimate cấp sẵn 1 tháng,Tạo video cinematic bằng AI Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,468000,/api/logos/higgsfield.jpg,8,AI,higgsfield
Heygen Creator 29$ chính chủ 1 tháng,Tạo video avatar AI chuyên nghiệp Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,480000,/api/logos/heygen.jpg,8,AI,heygen
Hailuo Pro 35$ chính chủ 1 tháng,Tạo video AI của MiniMax Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,400000,/api/logos/hailuo.jpg,8,AI,hailuo
Hailuo Standard 10$ chính chủ 1 tháng,Tạo video AI của MiniMax Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,170000,/api/logos/hailuo.jpg,10,AI,hailuo
Krisp Pro cấp sẵn 1 tháng,Lọc tạp âm cuộc họp bằng AI Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/krisp.jpg,10,AI,krisp
Capcut Pro cấp sẵn 7 ngày,Chỉnh sửa video chuyên nghiệp Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,10000,/api/logos/capcut.jpg,50,Thiết kế,capcut
Capcut Pro chính chủ 28 ngày,Chỉnh sửa video chuyên nghiệp Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,120000,/api/logos/capcut.jpg,20,Thiết kế,capcut
Capcut Pro cấp sẵn 14 ngày,Chỉnh sửa video chuyên nghiệp Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,18000,/api/logos/capcut.jpg,30,Thiết kế,capcut
Capcut Pro cấp sẵn 35 ngày,Chỉnh sửa video chuyên nghiệp Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,25000,/api/logos/capcut.jpg,30,Thiết kế,capcut
Capcut Pro cấp sẵn 6 tháng,Chỉnh sửa video chuyên nghiệp Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/capcut.jpg,15,Thiết kế,capcut
Capcut Pro cấp sẵn 1 năm,Chỉnh sửa video chuyên nghiệp Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,250000,/api/logos/capcut.jpg,15,Thiết kế,capcut
Duolingo Plus chính chủ 1 năm,Học ngoại ngữ vui và hiệu quả Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,140000,/api/logos/duolingo.jpg,20,Học tập,duolingo
Duolingo MAX Add Fam 1 năm,Học ngoại ngữ vui và hiệu quả Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,450000,/api/logos/duolingo.jpg,10,Học tập,duolingo
Fam Duolingo chính chủ 1 năm,Học ngoại ngữ vui và hiệu quả Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,650000,/api/logos/duolingo.jpg,8,Học tập,duolingo
Elsa Premium chính chủ 3 tháng,Luyện phát âm tiếng Anh Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,480000,/api/logos/elsa.jpg,10,Học tập,elsa
Elsa Premium chính chủ 1 năm,Luyện phát âm tiếng Anh Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,650000,/api/logos/elsa.jpg,10,Học tập,elsa
Elsa Pro chính chủ 1 năm,Luyện phát âm tiếng Anh Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,299000,/api/logos/elsa.jpg,10,Học tập,elsa
Grammarly Edu có AI cấp sẵn 1 tháng,Kiểm tra ngữ pháp và viết lách Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,170000,/api/logos/grammarly.jpg,15,Học tập,grammarly
Grammarly Edu có AI cấp sẵn 3 tháng,Kiểm tra ngữ pháp và viết lách Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,240000,/api/logos/grammarly.jpg,15,Học tập,grammarly
Grammarly Edu có AI cấp sẵn 6 tháng,Kiểm tra ngữ pháp và viết lách Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,340000,/api/logos/grammarly.jpg,10,Học tập,grammarly
Grammarly Edu có AI cấp sẵn 1 năm,Kiểm tra ngữ pháp và viết lách Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,500000,/api/logos/grammarly.jpg,10,Học tập,grammarly
Grammarly Edu không AI cấp sẵn 1 tháng,Kiểm tra ngữ pháp và viết lách Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,140000,/api/logos/grammarly.jpg,15,Học tập,grammarly
Grammarly Edu không AI cấp sẵn 1 năm,Kiểm tra ngữ pháp và viết lách Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,390000,/api/logos/grammarly.jpg,10,Học tập,grammarly
Grammarly có AI dùng chung 1 năm,Kiểm tra ngữ pháp và viết lách Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,250000,/api/logos/grammarly.jpg,20,Học tập,grammarly
Ejoy English Pro Plus dùng chung 1 năm,Học tiếng Anh qua phim Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,310000,/api/logos/ejoy.jpg,10,Học tập,ejoy
Ejoy English Pro Plus dùng chung vĩnh viễn,Học tiếng Anh qua phim Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,450000,/api/logos/ejoy.jpg,8,Học tập,ejoy
Quillbot Premium dùng chung 1 tháng,Viết lại văn bản thông minh Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,95000,/api/logos/quillbot.jpg,20,Học tập,quillbot
Quillbot Premium cấp sẵn 1 năm,Viết lại văn bản thông minh Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,550000,/api/logos/quillbot.jpg,10,Học tập,quillbot
Memrise Lifetime cấp sẵn vĩnh viễn,Học từ vựng theo phương pháp ghi nhớ Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,550000,/api/logos/memrise.jpg,10,Học tập,memrise
Hellochinese Premium cấp sẵn 1 năm,Học tiếng Trung từ cơ bản Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,470000,/api/logos/hellochinese.jpg,10,Học tập,hellochinese
Hellochinese Premium Plus cấp sẵn 6 tháng,Học tiếng Trung từ cơ bản Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,699000,/api/logos/hellochinese.jpg,8,Học tập,hellochinese
Hellochinese Premium Plus cấp sẵn 1 năm,Học tiếng Trung từ cơ bản Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,999000,/api/logos/hellochinese.jpg,8,Học tập,hellochinese
Hellochinese Premium chính chủ 1 năm,Học tiếng Trung từ cơ bản Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,520000,/api/logos/hellochinese.jpg,10,Học tập,hellochinese
Quizlet Plus chính chủ 1 năm,Học và ôn tập qua flashcard Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,120000,/api/logos/quizlet.jpg,15,Học tập,quizlet
Codecademy Pro chính chủ 3 tháng,Học lập trình tương tác Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,200000,/api/logos/codecademy.jpg,10,Học tập,codecademy
Codecademy Pro chính chủ 6 tháng,Học lập trình tương tác Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,270000,/api/logos/codecademy.jpg,10,Học tập,codecademy
Studocu Premium cấp sẵn 1 tháng,Tài liệu học tập và ghi chú Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,50000,/api/logos/studocu.jpg,20,Học tập,studocu
Datacamp Premium chính chủ 3 tháng,Học data science và lập trình Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,200000,/api/logos/datacamp.jpg,10,Học tập,datacamp
Datacamp Premium chính chủ 6 tháng,Học data science và lập trình Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,250000,/api/logos/datacamp.jpg,10,Học tập,datacamp
Datacamp Premium chính chủ 1 năm,Học data science và lập trình Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,400000,/api/logos/datacamp.jpg,10,Học tập,datacamp
Coursera Plus cấp sẵn 1 tháng,Khóa học từ đại học hàng đầu Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,80000,/api/logos/coursera.jpg,15,Học tập,coursera
Coursera Plus cấp sẵn 3 tháng,Khóa học từ đại học hàng đầu Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,240000,/api/logos/coursera.jpg,15,Học tập,coursera
Skillshare Premium chính chủ 1 tháng,Học kỹ năng sáng tạo Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,75000,/api/logos/skillshare.jpg,15,Học tập,skillshare
Skillshare Premium chính chủ 3 tháng,Học kỹ năng sáng tạo Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,170000,/api/logos/skillshare.jpg,10,Học tập,skillshare
Skillshare Premium chính chủ 6 tháng,Học kỹ năng sáng tạo Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,260000,/api/logos/skillshare.jpg,10,Học tập,skillshare
Skillshare Premium chính chủ 1 năm,Học kỹ năng sáng tạo Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,450000,/api/logos/skillshare.jpg,10,Học tập,skillshare
Udemy tải 1 khóa học,Khóa học online đa dạng Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,79000,/api/logos/udemy.jpg,50,Học tập,udemy
Chegg Study Pack chính chủ 1 tháng,Hỗ trợ học tập và giải bài tập Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,199000,/api/logos/chegg.jpg,10,Học tập,chegg
Kahoot 200 người Gold chính chủ 1 tháng,Học qua trò chơi tương tác Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,199000,/api/logos/kahoot.jpg,10,Học tập,kahoot
Kahoot ONE chính chủ 1 tháng,Học qua trò chơi tương tác Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,199000,/api/logos/kahoot.jpg,10,Học tập,kahoot
Kahoot 100 người Silver chính chủ 1 tháng,Học qua trò chơi tương tác Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/kahoot.jpg,10,Học tập,kahoot
Wordwall Pro chính chủ 1 tháng,Tạo trò chơi học tập Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,75000,/api/logos/wordwall.jpg,15,Học tập,wordwall
Wordwall Pro chính chủ 1 năm,Tạo trò chơi học tập Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,450000,/api/logos/wordwall.jpg,10,Học tập,wordwall
Wordwall Standard chính chủ 1 tháng,Tạo trò chơi học tập Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,65000,/api/logos/wordwall.jpg,15,Học tập,wordwall
Wordwall Standard chính chủ 1 năm,Tạo trò chơi học tập Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,330000,/api/logos/wordwall.jpg,10,Học tập,wordwall
Leetcode Premium 35$ chính chủ 1 tháng,Luyện thuật toán và phỏng vấn Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,470000,/api/logos/leetcode.jpg,10,Học tập,leetcode
Quizizz chính chủ 1 năm,Quiz học tập tương tác Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,350000,/api/logos/quizizz.jpg,10,Học tập,quizizz
Scribd Premium cấp sẵn 1 tháng,Thư viện tài liệu và audiobook Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,60000,/api/logos/scribd.jpg,15,Học tập,scribd
Busuu Premium chính chủ 1 năm,Học ngôn ngữ cùng cộng đồng Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,280000,/api/logos/busuu.jpg,10,Học tập,busuu
Netflix Extra Slot 1 tháng,Xem phim và series hàng đầu Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,60000,/api/logos/netflix.jpg,20,Streaming,netflix
YouTube Premium cá nhân chính chủ 1 năm,YouTube không quảng cáo + nhạc Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,650000,/api/logos/youtube.jpg,15,Streaming,youtube
YouTube Premium gia đình Add Fam 1 năm,YouTube không quảng cáo + nhạc Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,500000,/api/logos/youtube.jpg,15,Streaming,youtube
YouTube Premium gia đình Add Fam 6 tháng,YouTube không quảng cáo + nhạc Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,300000,/api/logos/youtube.jpg,15,Streaming,youtube
YouTube Premium dùng chung 6 tháng,YouTube không quảng cáo + nhạc Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,99000,/api/logos/youtube.jpg,20,Streaming,youtube
YouTube Premium dùng chung 1 năm,YouTube không quảng cáo + nhạc Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/youtube.jpg,20,Streaming,youtube
YouTube Premium cấp sẵn dùng riêng 6 tháng,YouTube không quảng cáo + nhạc Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 6 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/youtube.jpg,15,Streaming,youtube
